"Unidade da Federação";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";" Total"
"11 Rondônia";"219554";"207459";"144735";"48204";"284513";"242985";"206296";"292553";"168095";"144339";"128169";"163340";"150128";"130536";"158254";"152052";"142750";"156774";"145596";"139752";"157942";"158399";"129642";"99495";"92868";"92366";"71858";"20748";"4249402"
"12 Acre";"108206";"143845";"71667";"13460";"67947";"1305380";"98465";"102509";"84525";"84971";"73776";"75675";"67871";"83924";"95347";"105503";"102222";"117360";"106904";"72409";"50955";"53746";"39248";"45873";"43463";"45925";"30880";"9174";"3301230"
"13 Amazonas";"189179";"325411";"299571";"64637";"346619";"496898";"434945";"481011";"446048";"396598";"326329";"356846";"350897";"374693";"361393";"358219";"343181";"356573";"337960";"291348";"326899";"297631";"181756";"245458";"271990";"273327";"210123";"63747";"8809287"
"14 Roraima";"21757";"51715";"65149";"22290";"130516";"94311";"106533";"67228";"68692";"69055";"58151";"80040";"71139";"69688";"77781";"67499";"70721";"68763";"62036";"58081";"70284";"70289";"42897";"86875";"90442";"77269";"55667";"17876";"1892744"
"15 Pará";"171693";"304709";"310588";"47329";"303487";"1565678";"801902";"1090151";"1338385";"1298510";"834766";"796893";"746010";"753835";"717106";"655370";"661978";"707089";"714286";"705853";"568474";"444935";"267492";"432441";"389415";"407324";"331734";"100492";"17467925"
"16 Amapá";"0";"26320";"48448";"5891";"71395";"138089";"109414";"154072";"109364";"91928";"66098";"65280";"61688";"60916";"77572";"70762";"86950";"77110";"72390";"53680";"54348";"60370";"47575";"50889";"43991";"45813";"27905";"8903";"1787161"
"17 Tocantins";"0";"0";"119700";"36653";"342615";"367434";"298045";"267479";"222614";"203614";"142491";"150169";"128696";"122637";"125628";"106307";"118082";"126214";"110612";"129179";"139990";"103585";"59184";"90441";"80323";"83442";"68392";"18695";"3762221"
"21 Maranhão";"2670";"18717";"21086";"20955";"217434";"1752105";"1303390";"999999";"831603";"744063";"656124";"663516";"642167";"619627";"630308";"601414";"693618";"797951";"751562";"692688";"647301";"624073";"339966";"505626";"433489";"405860";"306017";"85283";"16008612"
"22 Piauí";"1";"2524";"673";"250";"4427";"187320";"273151";"360373";"282231";"656926";"405909";"322608";"277908";"287079";"233866";"238804";"242285";"313273";"272943";"270824";"250057";"180644";"106730";"160172";"145106";"155048";"128168";"36018";"5795318"
"23 Ceará";"399";"3379";"17324";"731";"142656";"717239";"624433";"594047";"566183";"1613240";"882545";"1317712";"912469";"751948";"631679";"688848";"644715";"990887";"914944";"865576";"871479";"823598";"640622";"699949";"559650";"453439";"375286";"97214";"17402191"
"24 Rio Grande do Norte";"19333";"5957";"12950";"3448";"29449";"239141";"248240";"528682";"632426";"368979";"236016";"234397";"207628";"201653";"207948";"268254";"327784";"319811";"307040";"294070";"277172";"265090";"185177";"161010";"168355";"155489";"127931";"35568";"6068998"
"25 Paraíba";"0";"3858";"3707";"1810";"26382";"314734";"261018";"366836";"724992";"473779";"334196";"314387";"324835";"315788";"279493";"634014";"321139";"355090";"314151";"304371";"261380";"249315";"155673";"227458";"215465";"237723";"132924";"31757";"7186275"
"26 Pernambuco";"1582";"12731";"19738";"18568";"149442";"811029";"650198";"2453982";"1825271";"1125293";"842940";"785434";"673545";"661786";"617793";"729705";"660536";"783096";"794042";"704028";"782466";"858132";"572466";"640356";"574743";"562208";"363924";"104856";"18779890"
"27 Alagoas";"0";"3896";"13813";"3439";"130017";"366018";"299300";"311125";"924215";"511624";"365718";"303926";"243677";"227417";"228918";"306092";"260508";"294273";"313627";"314537";"293622";"281805";"178977";"266767";"256887";"233961";"151295";"42264";"7127718"
"28 Sergipe";"0";"6635";"14711";"16105";"23698";"192986";"179542";"415129";"346790";"571163";"246023";"178872";"184319";"171572";"157067";"176817";"209501";"238004";"179504";"204663";"205402";"185193";"112420";"134683";"130711";"125092";"99698";"27090";"4733390"
"29 Bahia";"1285";"7709";"10123";"27298";"641794";"1924960";"1296125";"1692755";"2673226";"2021116";"1395836";"1432399";"1210006";"1209916";"1060115";"978337";"1094859";"1415470";"1221872";"1245540";"1270723";"1082031";"641009";"836570";"634590";"666188";"571738";"136108";"28399698"
"31 Minas Gerais";"0";"0";"0";"35826";"197417";"1566074";"1417775";"2956419";"3885712";"3601967";"1850695";"1608004";"1438630";"1414037";"1437113";"1184712";"1278948";"1402466";"1393165";"1600288";"1455222";"1177006";"714196";"1155854";"1303661";"1213433";"961149";"235184";"36484953"
"32 Espírito Santo";"195771";"201712";"195472";"66381";"1389828";"675112";"264063";"318840";"256909";"324901";"323523";"264309";"248792";"273384";"256509";"234442";"252042";"276749";"267290";"297966";"340232";"262425";"179493";"232733";"223475";"261082";"179953";"52165";"8315553"
"33 Rio de Janeiro";"0";"69539";"41986";"22350";"316143";"1065477";"935190";"4160157";"2402420";"1357261";"1238638";"1177726";"1115467";"1114887";"994970";"1008692";"1069861";"1125284";"1093972";"1071113";"1200726";"1159731";"961275";"1125532";"838664";"583421";"370027";"115747";"27736256"
"35 São Paulo";"0";"0";"0";"0";"1286830";"3235195";"2663136";"12212534";"6820223";"4460398";"3966486";"3600855";"3268674";"3270319";"3419422";"3121585";"3157380";"3555349";"3484120";"3584824";"4172033";"3748857";"1854487";"2393996";"2350212";"2423820";"1648083";"462884";"84161702"
"41 Paraná";"0";"425600";"615517";"1338697";"298620";"2820363";"1725642";"1322896";"1418050";"1053324";"832537";"932942";"700460";"700793";"773689";"672716";"715234";"863797";"741004";"733648";"727083";"621347";"389089";"454065";"449556";"616470";"490804";"129123";"22563066"
"42 Santa Catarina";"1354262";"631281";"578304";"81437";"951945";"550318";"412063";"416788";"434301";"375606";"355997";"351092";"334646";"338359";"356983";"371146";"375453";"443778";"418136";"492849";"976741";"692066";"321183";"321506";"326501";"444820";"340101";"92914";"13140576"
"43 Rio Grande do Sul";"0";"0";"48551";"28606";"383556";"696179";"597444";"1376041";"2447228";"1264750";"1229518";"858245";"749667";"714760";"668391";"688769";"726272";"703998";"594594";"654429";"660697";"541245";"341104";"406141";"397811";"438790";"379327";"101676";"17697789"
"50 Mato Grosso do Sul";"0";"0";"3979";"3601";"33560";"199361";"191738";"307729";"541805";"410815";"266131";"231067";"228171";"239667";"286621";"245928";"230723";"279497";"257810";"254651";"309649";"265868";"183457";"235346";"225435";"226121";"119466";"33156";"5811352"
"51 Mato Grosso";"8894";"35160";"24673";"5830";"547540";"788139";"490137";"396515";"388997";"361012";"311387";"288481";"241991";"226687";"260543";"235829";"266769";"287484";"274194";"277550";"320105";"289423";"227224";"280012";"234980";"209484";"177395";"54667";"7511102"
"52 Goiás";"2449";"27341";"43693";"12269";"151503";"507041";"388755";"1306286";"878538";"527634";"424022";"435706";"435491";"489636";"546180";"452808";"489796";"549664";"531226";"601548";"527566";"408048";"262255";"333055";"308967";"314291";"269940";"82961";"11308669"
"53 Distrito Federal";"0";"6495";"263167";"76505";"278429";"370767";"361856";"294945";"246686";"222730";"240223";"212433";"222655";"250401";"308514";"260547";"288660";"291096";"326270";"365307";"339553";"250382";"307240";"155298";"149370";"160541";"128195";"44665";"6422930"
"Total";"2297035";"2521993";"2989325";"2002570";"8747762";"23190333";"16638796";"35247081";"30965529";"24335596";"18034244";"17202354";"15237627";"15075945";"14969203";"14615171";"14831967";"16896900";"16001250";"16280772";"17258101";"15155234";"9441837";"11777601";"10940120";"10912747";"8117980";"2240935";"393926008"
