 Morbidade Hospitalar do SUS - por local de residência - Brasil
Óbitos por Unidade da Federação e Ano processamento
Lista Morb  CID-10: Hepatite aguda B, Outras hepatites virais
Período:1995-2007
"Unidade da Federação";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"Total"
"11 Rondônia";9;10;6;13;9;12;5;8;10;8;90
"12 Acre";5;16;15;11;26;22;39;18;27;19;198
"13 Amazonas";13;21;13;15;16;15;21;19;11;8;152
"14 Roraima";2;2;1;2;1;2;1;4;1;1;17
"15 Pará";23;33;26;28;19;30;34;34;22;30;279
"16 Amapá";1;4;-;6;2;-;1;5;-;1;20
"17 Tocantins";-;5;1;2;1;1;4;7;4;6;31
"21 Maranhão";25;24;12;13;22;20;24;26;27;17;210
"22 Piauí";3;7;12;5;8;5;15;12;14;5;86
"23 Ceará";5;5;9;14;13;22;19;33;35;30;185
"24 Rio Grande do Norte";11;10;6;5;1;6;2;2;13;4;60
"25 Paraíba";17;14;13;8;10;16;12;10;3;6;109
"26 Pernambuco";16;13;26;13;32;53;22;28;17;17;237
"27 Alagoas";10;8;5;5;5;6;3;8;5;8;63
"28 Sergipe";7;8;5;6;14;9;10;16;5;7;87
"29 Bahia";41;34;48;35;69;57;47;32;42;52;457
"31 Minas Gerais";51;36;40;49;68;74;59;65;51;35;528
"32 Espírito Santo";12;4;6;12;17;7;12;8;18;14;110
"33 Rio de Janeiro";21;13;26;24;46;34;42;45;49;55;355
"35 São Paulo";69;80;73;95;139;150;173;152;92;127;1150
"41 Paraná";23;17;23;17;30;36;41;43;49;40;319
"42 Santa Catarina";12;16;18;12;20;25;16;14;16;28;177
"43 Rio Grande do Sul";27;30;37;36;49;92;79;51;34;42;477
"50 Mato Grosso do Sul";4;4;6;16;6;6;7;13;17;10;89
"51 Mato Grosso";9;7;10;7;8;10;11;9;17;5;93
"52 Goiás";7;11;4;13;5;14;11;14;16;12;107
"53 Distrito Federal";4;3;4;6;10;3;3;2;2;6;43
"00 Ignorado/exterior";8;-;-;-;-;-;-;-;-;-;8
"Total";435;435;445;468;646;727;713;678;597;593;5737
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
