 Morbidade Hospitalar do SUS - por local de residência - Brasil
Óbitos por Unidade da Federação e Ano processamento
Lista Morb  CID-10: Hepatite aguda B, Outras hepatites virais
Período:Jan/2008-Mar/2021
"Unidade da Federação";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";8;11;8;4;16;14;11;10;11;15;14;17;3;2;144
"12 Acre";18;22;25;23;20;17;25;17;25;17;24;23;12;2;270
"13 Amazonas";14;11;20;14;16;16;22;10;24;18;12;18;29;6;230
"14 Roraima";1;4;4;-;1;-;1;2;1;1;1;2;2;1;21
"15 Pará";19;19;15;11;19;17;21;17;12;9;15;18;17;2;211
"16 Amapá";3;4;2;3;3;4;1;2;3;2;1;-;-;-;28
"17 Tocantins";6;1;6;3;1;3;2;1;1;1;1;-;1;-;27
"21 Maranhão";10;8;13;23;16;17;15;27;8;10;12;3;3;-;165
"22 Piauí";7;8;5;7;12;3;9;3;4;7;5;4;3;1;78
"23 Ceará";19;14;13;7;12;5;8;5;6;7;3;5;6;1;111
"24 Rio Grande do Norte";3;5;4;3;3;4;4;6;2;3;3;4;2;1;47
"25 Paraíba";9;2;7;1;2;2;5;4;4;5;2;6;6;1;56
"26 Pernambuco";104;114;78;85;69;35;61;66;63;54;58;64;50;10;911
"27 Alagoas";3;4;6;6;1;5;2;-;2;5;2;3;2;2;43
"28 Sergipe";4;4;3;1;4;2;3;1;6;-;-;2;2;-;32
"29 Bahia";40;68;81;45;27;15;37;32;21;16;18;15;22;6;443
"31 Minas Gerais";59;38;41;39;33;34;29;19;25;21;26;19;22;14;419
"32 Espírito Santo";9;5;3;13;4;8;5;2;4;4;8;7;10;-;82
"33 Rio de Janeiro";28;25;29;23;29;19;20;21;23;23;35;15;11;8;309
"35 São Paulo";173;104;84;88;69;58;43;60;77;62;71;91;48;12;1040
"41 Paraná";29;12;11;10;15;14;7;9;10;8;20;8;18;3;174
"42 Santa Catarina";14;20;14;15;9;10;14;11;15;8;10;9;11;3;163
"43 Rio Grande do Sul";77;38;32;41;21;30;38;27;31;27;34;23;25;2;446
"50 Mato Grosso do Sul";16;5;7;6;8;8;3;12;7;3;6;2;3;3;89
"51 Mato Grosso";17;3;4;8;2;7;14;3;3;2;2;9;3;-;77
"52 Goiás";6;6;7;19;7;9;15;10;9;8;5;12;8;7;128
"53 Distrito Federal";2;2;3;3;8;2;5;3;4;2;1;-;1;1;37
"Total";698;557;525;501;427;358;420;380;401;338;389;379;320;88;5781
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
