 Morbidade Hospitalar do SUS - por local de residência - Brasil
Valor Total por Unidade da Federação e Ano/mês processamento
Lista Morb  CID-10: Hepatite aguda B, Outras hepatites virais
Período:1998-2007
"Unidade da Federação";"1998/Jan";"1998/Fev";"1998/Mar";"1998/Abr";"1998/Mai";"1998/Jun";"1998/Jul";"1998/Ago";"1998/Set";"1998/Out";"1998/Nov";"1998/Dez";"1999/Jan";"1999/Fev";"1999/Mar";"1999/Abr";"1999/Mai";"1999/Jun";"1999/Jul";"1999/Ago";"1999/Set";"1999/Out";"1999/Nov";"1999/Dez";"2000/Jan";"2000/Fev";"2000/Mar";"2000/Abr";"2000/Mai";"2000/Jun";"2000/Jul";"2000/Ago";"2000/Set";"2000/Out";"2000/Nov";"2000/Dez";"2001/Jan";"2001/Fev";"2001/Mar";"2001/Abr";"2001/Mai";"2001/Jun";"2001/Jul";"2001/Ago";"2001/Set";"2001/Out";"2001/Nov";"2001/Dez";"2002/Jan";"2002/Fev";"2002/Mar";"2002/Abr";"2002/Mai";"2002/Jun";"2002/Jul";"2002/Ago";"2002/Set";"2002/Out";"2002/Nov";"2002/Dez";"2003/Jan";"2003/Fev";"2003/Mar";"2003/Abr";"2003/Mai";"2003/Jun";"2003/Jul";"2003/Ago";"2003/Set";"2003/Out";"2003/Nov";"2003/Dez";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"Total"
"11 Rondônia";2518,22;5406,73;4699,43;2170,66;5301,20;2712,72;6366,34;4231,80;5624,22;3202,75;6544,78;3754,94;2182,95;4712,08;3509,79;4661,19;6749,75;4303,31;3910,32;4433,78;5868,69;3677,66;4953,13;3703,39;7353,18;5693,66;7432,10;7094,03;7168,86;3282,68;7547,47;6743,98;6207,06;7355,96;8856,38;9964,85;10303,27;9980,35;9613,53;10032,38;7333,27;8607,45;8247,28;6141,44;8717,49;6190,48;6110,70;4199,23;5627,10;7395,08;5785,29;8006,24;5593,19;5904,29;4912,30;3042,20;4725,75;6653,21;6243,58;5321,06;4093,76;7127,21;4715,86;7117,65;4815,77;3773,66;5875,96;4481,07;5081,09;5410,50;5230,77;4624,24;7393,67;7472,83;7676,36;5305,88;11281,23;7185,17;6871,43;7501,75;6880,06;8729,74;5069,82;6084,69;7083,21;8635,45;5299,54;4142,53;8140,67;6982,54;7612,99;5238,95;13786,92;5371,00;6110,74;4880,81;5610,30;4240,27;4514,01;5220,71;7884,29;4902,36;5842,56;5024,23;5489,66;3831,39;5432,06;5379,59;3583,15;4913,41;2051,18;4229,71;3084,54;4300,50;4410,84;8943,93;7199,99;2596,50;5718,46;5398,38;707473,74
"12 Acre";426,50;2138,75;2696,93;2463,00;3298,52;2239,23;2080,88;4371,83;3638,70;4196,50;5971,82;1386,19;4233,96;3750,85;2450,81;4638,51;4667,67;2591,91;2816,78;2664,06;4637,06;7011,64;6300,56;5427,82;6606,81;6827,84;3508,07;2824,70;7437,41;3353,69;6006,17;3127,95;3021,60;4609,67;4621,48;4294,42;5520,20;3628,60;8556,06;6662,24;8942,60;3829,97;6271,80;6649,01;6526,85;9814,25;8012,73;7300,80;7082,10;8469,62;6613,73;6857,59;8331,89;7193,78;9502,14;6886,73;3481,06;12464,18;9447,78;9173,97;10545,90;5817,31;16925,57;7437,91;6783,49;4217,02;22366,39;7011,23;9422,58;11232,51;3639,97;8020,05;5379,60;7302,40;10400,28;8997,90;26261,72;13681,95;7330,13;22323,84;18298,44;8754,75;6521,34;4448,02;16883,53;15137,98;13681,95;11705,30;8287,90;11405,00;28244,71;11587,53;10177,93;14839,85;10323,12;9458,44;26415,62;9458,61;13764,59;14473,58;27438,13;11080,95;15837,81;21504,65;11882,23;7572,80;8503,51;8706,81;7485,06;10924,53;7536,22;4536,78;6177,65;7253,27;8162,86;8743,65;11287,08;15369,92;8263,01;4150,46;1010943,29
"13 Amazonas";2934,12;4873,82;3818,28;4758,15;5844,10;5885,59;6796,07;4827,48;3842,29;3459,94;3273,56;4415,14;6681,71;4987,99;5892,30;5785,01;4734,30;4641,65;3268,10;6010,29;4261,31;4724,81;5886,13;8624,48;6712,46;5066,16;9681,68;6654,09;9944,33;5137,99;4837,53;8246,97;5216,07;3938,99;7192,99;8128,77;4376,06;4581,31;4965,15;7208,43;9868,35;3819,44;6254,73;5347,42;6507,84;5625,85;6692,44;3352,47;6081,09;5249,37;4825,07;8724,85;4888,93;7171,14;5356,07;4316,07;18950,32;8173,20;7832,99;6078,70;7416,59;7783,68;8585,63;5953,50;6961,03;4364,32;6275,00;2865,54;7157,59;5682,20;5538,67;8854,48;5044,54;6941,82;8941,25;8759,29;11242,19;11716,36;12107,74;14200,76;8099,00;9496,69;10366,09;12353,22;10131,54;12631,79;12651,30;13278,40;11273,11;11557,39;8944,01;13019,45;20209,45;9329,39;12419,93;6409,60;9016,05;9654,93;12242,86;12895,67;11112,07;10729,32;10082,29;12269,11;7527,06;6341,87;8665,20;5580,85;7085,09;6347,32;6450,35;5624,73;8030,67;5897,93;12447,40;7607,35;7132,65;4806,27;7124,78;8374,83;898841,13
"14 Roraima";95,93;106,75;85,30;85,30;660,10;426,52;319,89;106,63;319,89;945,73;426,52;213,26;692,27;639,78;532,82;746,41;213,26;666,37;426,52;453,34;418,36;198,97;464,37;-;-;-;-;-;-;-;893,73;1319,95;239,35;547,85;493,42;40,38;348,88;634,28;158,59;516,15;526,67;751,87;706,44;951,34;634,32;325,13;1020,94;539,17;3417,50;317,14;772,53;1296,83;158,59;158,59;198,93;507,43;380,58;507,43;416,39;362,23;674,01;317,14;539,17;158,55;158,55;540,83;-;483,43;348,90;-;766,48;479,54;227,97;455,94;1578,60;835,90;960,29;612,64;916,02;1271,23;1191,49;475,65;2070,28;249,82;357,48;1822,33;1140,60;1331,96;616,56;1113,94;736,99;1889,33;628,98;1391,67;874,39;1695,85;458,01;-;616,56;-;525,26;473,61;1962,74;416,38;1106,72;1066,48;624,57;-;476,63;569,61;510,34;408,37;366,74;-;416,38;208,19;916,53;409,29;1180,28;208,19;70220,31
"15 Pará";7554,67;8424,74;14703,97;12560,54;13724,84;21870,50;16818,53;17934,18;16076,59;18707,26;17212,66;20220,03;18695,14;19337,41;16178,25;16142,57;19428,87;18189,06;17197,39;16347,45;16410,37;24039,98;26823,07;28147,69;26484,83;33532,45;29618,55;31051,99;25612,82;27862,82;26572,83;24925,80;28029,02;37313,19;31864,21;30001,21;30780,56;31117,57;26713,40;31563,64;24226,23;28271,34;23861,50;24503,31;23397,08;26305,06;24508,14;15525,09;19468,20;18538,98;17907,11;20708,71;23775,08;19439,61;22727,40;21650,44;21186,95;22479,67;19640,20;17342,09;22709,33;17766,18;21208,38;16556,51;19206,09;20416,93;24126,81;22320,35;15945,75;19788,40;19633,70;15902,43;17081,65;19292,81;22077,42;19652,10;21504,62;25048,35;22415,39;17915,64;20440,20;28487,89;18067,60;26131,30;31625,62;35840,96;36267,82;29455,73;25347,15;29766,18;37683,91;42610,73;32983,20;34765,00;30729,60;42157,24;34728,55;38593,70;36382,09;36134,12;47723,69;43007,72;41022,48;41488,08;38772,54;42780,45;44003,66;36335,57;36339,97;30704,61;32749,19;32575,61;23183,71;32388,16;26071,55;26665,11;45001,59;31458,01;35295,96;34583,78;3102171,71
"16 Amapá";85,30;170,60;-;163,00;369,89;897,88;847,15;573,02;1110,99;533,15;341,58;426,52;646,53;554,35;774,90;357,31;960,11;559,44;522,56;367,59;1550,91;1003,15;1335,00;158,59;-;627,35;1104,03;1850,84;489,02;1065,46;813,44;538,56;975,07;1518,47;1141,93;1504,28;3713,15;2442,40;1611,37;1870,00;1135,69;1178,90;185,18;3598,50;496,93;2251,92;475,73;876,93;1565,58;1880,68;980,57;1308,47;1670,61;674,12;2291,08;798,80;1176,35;489,05;1173,57;806,16;1834,58;658,17;475,69;2016,70;676,72;1165,70;-;528,28;718,26;918,08;824,18;1180,95;790,88;1330,60;1304,80;1717,02;1179,01;749,38;1562,45;707,69;744,08;1557,83;1275,56;430,43;884,79;1100,22;1241,33;1869,50;1524,16;1549,54;1070,01;815,19;1132,02;2385,95;1112,19;907,93;590,83;-;1082,38;596,10;1140,44;374,69;525,28;1417,30;2201,32;574,93;2529,76;1160,45;1517,71;647,46;744,08;1245,57;1099,99;2040,29;947,37;619,80;593,48;-;1413,61;587,34;124179,76
"17 Tocantins";2183,99;1424,16;1238,72;1702,01;1980,16;1335,21;1245,64;2115,60;1410,04;1701,58;1567,02;2235,95;3371,39;2209,54;3021,15;2193,81;1677,48;4647,44;1337,86;927,42;2440,62;3235,71;3242,91;2884,88;4211,94;3397,61;2405,52;920,10;2642,77;2223,53;630,00;1872,34;1727,72;806,20;2556,66;1147,11;2041,73;2115,17;3178,87;1823,87;2490,05;2388,08;2494,26;2198,79;3161,27;1292,41;2418,36;2065,23;1817,93;2394,43;2656,37;1480,03;2617,66;3769,65;4171,02;2150,03;976,12;2537,56;993,78;3051,62;2734,16;4604,48;3548,94;3238,50;3772,88;3110,54;1301,81;2828,21;2545,60;3213,41;4715,86;5767,31;3065,65;2997,00;2215,57;1957,90;3266,77;3183,25;3321,19;3408,34;3649,10;3002,00;999,54;3444,13;4651,11;3995,64;4924,94;1791,24;5127,38;3068,34;1861,77;2243,21;2016,92;3437,27;4051,24;3498,19;3689,31;4011,25;6032,89;6577,46;4489,67;2945,95;2735,51;3124,20;4120,30;3255,66;2144,72;2198,49;4399,96;2615,77;3492,61;2762,32;2571,93;4510,95;7304,31;3259,74;2964,02;3358,83;1700,02;2679,04;335660,38
"21 Maranhão";5426,66;6996,79;7115,71;9294,31;12826,51;13197,37;12309,61;12607,08;8554,71;7620,59;7790,21;6965,41;7565,59;10068,28;8690,33;7939,96;8372,34;9505,83;9266,73;8959,56;11063,41;13937,10;10308,67;11515,36;8654,68;14850,40;11695,38;13528,13;10790,65;11081,01;9996,02;7058,87;8859,38;10463,85;9564,07;7377,45;9491,40;11997,95;9198,95;13381,19;14964,37;12748,73;11865,39;10353,93;11204,26;9719,60;10459,48;9985,20;14205,00;9141,49;14165,98;12024,22;11265,27;14083,43;9611,58;9331,31;10779,45;6865,94;8280,10;11687,19;9716,85;8781,63;8444,00;5025,05;8883,55;8728,22;9433,07;9890,01;19697,77;8864,82;8695,61;8872,32;10970,73;9500,51;11546,04;14801,86;13381,68;13482,98;17633,48;12622,40;12312,09;10600,49;10110,27;5961,87;14421,47;8439,58;12568,96;6875,60;16374,37;19618,58;12754,09;11949,30;14282,14;11600,15;9117,52;12818,17;13208,67;13381,44;19899,43;15545,53;14930,14;16891,21;8914,41;12300,27;13521,83;6201,30;8670,19;9078,18;9752,04;8430,33;13431,52;11042,76;11883,10;12053,56;10057,90;5187,12;7844,02;8856,54;9959,23;14569,04;1303016,41
"22 Piauí";1973,88;2670,99;2836,11;1564,89;2070,18;4593,37;2654,80;2222,92;2755,81;2885,71;3657,74;1982,93;3452,23;3365,94;2839,44;2905,97;2044,85;3064,64;6660,72;3834,12;2177,62;4009,59;4534,86;4468,82;3548,69;3751,86;4069,05;6221,06;3413,83;3205,59;2322,21;4821,06;2690,07;3253,05;3171,40;5041,76;4900,81;3925,56;3483,64;3682,00;3778,71;2969,53;780,49;2032,22;3890,27;4169,78;1268,72;8423,67;4312,62;4380,90;6314,00;5187,46;4304,05;4143,25;2249,21;2791,28;2122,99;1824,70;1753,94;2387,23;4283,30;2170,81;2519,28;3552,47;5403,49;2928,40;4217,66;2811,81;3316,23;6433,33;5004,99;4118,64;4530,49;4516,87;4973,92;4613,07;4410,69;4479,02;7842,27;6537,43;2958,99;6461,04;3908,84;4273,97;2185,59;4675,83;5481,10;5535,47;4938,06;7055,01;2934,95;6549,52;4859,09;4454,33;5479,35;6599,90;2734,66;3739,06;4461,12;4240,69;5143,56;7800,76;5263,60;6300,62;5966,60;4822,54;5962,16;9661,92;3689,26;3095,28;3867,55;2865,50;3150,87;3124,86;3288,08;3443,28;2874,24;2570,71;4331,63;4839,42;480067,97
"23 Ceará";2842,35;2254,12;3741,63;5088,49;3505,83;6913,16;3932,51;4383,93;6392,67;3980,80;3334,37;3163,65;2785,40;1996,13;3609,97;3488,33;3946,74;1870,58;4478,22;2942,83;5316,95;8715,76;4959,22;5179,71;4880,44;3097,62;8224,52;6275,46;4503,02;3424,08;2871,88;4921,74;4968,12;5303,56;7285,77;5224,58;5197,29;5809,13;5811,31;4536,26;4340,71;4149,40;5478,88;5928,20;7397,37;5868,41;6778,52;5249,80;4683,00;6275,71;7601,53;8768,23;7338,02;4395,44;7978,66;6843,83;7660,65;10389,22;5706,15;8689,73;6047,03;10155,50;9110,63;10243,89;10089,88;7141,27;8253,40;7905,82;13145,78;8821,70;9303,52;6740,94;8698,92;5267,18;10096,04;9296,65;11465,00;11064,19;10860,84;14214,92;8377,08;11702,92;14664,45;9761,72;7580,20;13365,95;16350,90;10488,93;15984,47;13590,51;10475,39;11984,48;15442,56;10177,49;13210,61;14322,40;12555,61;9561,03;13474,81;12697,08;11937,42;7639,26;6963,98;9985,61;20316,78;11978,60;11054,75;16773,11;16270,05;9662,92;13948,93;9936,47;23961,72;9942,58;10117,27;11370,75;8130,05;14976,23;17475,58;13995,99;1002809,33
