 Morbidade Hospitalar do SUS - por local de residência - Brasil
Valor total por Unidade da Federação e Ano/mês processamento
Lista Morb  CID-10: Hepatite aguda B, Outras hepatites virais
Período:2008-2020
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"Total"
"11 Rondônia";2499,31;4604,60;3483,70;963,25;2275,80;947,25;4181,57;2756,53;5178,20;3051,40;3210,79;4172,99;2658,14;3288,80;5915,33;2575,84;3617,54;6012,49;3248,96;6321,65;1884,19;3770,40;4495,44;6539,24;5855,29;2579,27;4881,63;5758,64;4691,12;3555,67;5780,46;6748,28;4850,37;4773,77;3388,96;4300,44;4951,72;5614,07;3268,80;5305,50;5482,64;4877,11;6702,93;7213,39;7382,20;7488,13;6683,15;4653,43;5192,53;6014,56;5123,54;6099,80;4057,63;4095,60;6781,45;5783,59;4949,56;8014,47;3764,49;5137,78;7696,61;3204,12;4239,29;9179,99;5735,72;15015,17;11456,99;11338,78;4675,34;10083,52;11826,73;11169,60;3083,43;8899,32;4462,88;15746,82;4304,45;6444,25;5418,01;4865,13;2642,23;10824,28;10205,41;14124,28;3079,70;4380,58;6307,42;5773,02;7721,94;11595,19;4327,49;3715,83;2730,69;17412,28;4006,63;7412,53;7280,48;2923,89;2900,30;4256,62;2441,85;4319,88;3883,66;2068,26;13917,94;13593,73;3738,68;6589,61;2897,61;8318,40;13585,15;2510,03;2872,38;2189,17;4086,08;7980,51;2153,59;76473,80;5961,43;21223,17;6900,26;7429,53;3770,00;5472,79;3241,09;4281,26;6313,65;2069,62;4982,00;12724,83;3276,36;7809,67;4608,16;5245,23;4362,13;6690,93;25427,91;20323,12;5281,65;12014,81;2904,59;11213,79;5638,73;3039,92;2977,26;2399,46;3072,62;1543,59;963,39;756,96;653,63;446,22;1735,22;3814,39;1319,76;4993,90;972425,68
"12 Acre";3120,29;7232,01;6140,22;10074,86;5368,85;4808,41;11569,65;11736,02;4888,62;5453,65;9964,20;5805,00;10061,75;9933,83;8015,03;11011,89;8716,17;7197,11;12357,54;6315,21;-;16079,41;6558,47;17419,06;26227,18;5717,87;11965,13;11545,81;7422,22;14855,86;6810,07;4295,17;13335,84;6525,84;10096,64;8700,04;13153,10;6891,50;20635,99;7686,39;5608,33;11300,81;6960,12;19460,18;21087,56;11211,68;15836,99;15054,59;14540,11;16864,22;17136,46;14073,07;29320,09;14554,70;13220,61;13655,38;5726,83;17652,94;12100,01;4401,52;7914,46;7852,74;8526,65;17254,33;10981,90;7113,95;21850,00;13171,80;7233,34;7728,33;4792,98;8270,70;9708,55;9749,78;13190,35;9320,76;7931,15;6530,68;7181,77;11539,75;21344,60;9971,82;9684,69;7657,30;6984,93;7263,95;6679,82;6051,80;5451,74;5199,06;5423,54;5651,28;15030,82;10301,89;9589,27;12077,82;7725,41;7068,05;14477,18;7681,60;15489,79;11741,01;8050,31;115558,29;14533,94;9346,55;11871,88;8017,65;7128,62;4398,47;4017,33;2265,31;7841,63;610,33;10175,86;10102,28;1694,99;6728,54;11172,19;16410,84;4187,07;2003,87;6189,49;75703,32;6715,71;15828,57;32993,66;7673,73;5386,18;7004,18;7244,37;12113,22;13594,24;3848,65;4659,37;5817,61;8782,43;6147,12;14990,02;5634,24;17219,51;15285,40;5344,90;2362,85;1987,15;6212,46;2288,03;2135,23;13383,72;3551,78;1353,79;8999,54;8990,53;769,77;1407,07;691,38;1650274,61
"13 Amazonas";4156,61;6728,88;8317,13;12696,35;6768,45;8005,00;6298,08;9765,69;8963,97;8712,37;7232,17;20051,22;8677,51;7703,72;9912,87;11872,05;8863,53;10025,06;7406,05;14877,94;8274,33;9923,40;11161,10;17023,12;8800,41;25385,69;9636,68;9945,91;12241,70;10610,89;10035,96;17580,25;10966,71;9130,59;9842,48;21654,18;7059,07;6948,51;8367,15;12313,29;9432,13;16652,45;19687,99;8387,82;6873,32;3900,48;12430,04;16316,99;15845,24;6290,39;9984,67;10990,05;9588,12;8597,19;15137,76;9848,26;12271,66;10426,04;16796,68;6775,70;10067,93;11796,95;11368,56;12387,28;10372,38;17613,98;8535,11;7687,21;8082,94;6719,73;13315,53;15724,54;17446,12;13365,14;11187,22;17480,98;25775,48;14097,65;12127,17;21181,10;9466,76;15689,18;10179,52;12028,87;7571,64;9131,39;13823,46;8115,74;6908,02;7060,77;8224,59;13547,33;17808,73;7638,05;7382,45;12884,91;6760,01;11943,81;23874,10;7114,46;14532,12;15735,01;13413,71;5443,20;6610,10;29101,37;6803,60;4116,47;6527,62;4146,80;13511,55;5831,75;6437,26;11308,25;7971,93;5393,00;9083,77;1870,74;15049,19;5658,72;5252,85;97799,27;3457,92;2980,02;2437,18;5365,04;4033,52;4397,51;6186,12;102317,08;5298,88;4302,87;15705,03;12457,83;6385,83;6552,66;13282,55;7026,06;6372,83;7561,50;5436,03;1900,65;6662,58;8988,03;12301,56;8755,96;5573,32;5800,35;11936,91;2393,37;7392,01;3665,14;3978,73;8347,16;16099,21;1983,99;1752589,55
"14 Roraima";449,50;806,76;823,22;393,96;1051,08;1253,74;904,76;1168,78;1421,35;1209,44;1213,08;1066,30;740,23;835,39;1522,86;2818,74;2238,31;535,46;924,07;822,57;477,30;1025,68;2578,58;1205,70;1228,79;2023,51;781,80;406,22;1258,39;2423,06;-;1261,29;877,91;325,42;-;581,80;1033,62;203,11;1059,10;2223,19;203,11;274,19;203,11;1373,89;506,12;274,19;477,30;456,44;910,59;456,44;477,30;2131,95;1158,14;1764,81;274,19;-;548,38;1044,46;-;-;274,19;680,41;477,37;203,11;573,35;1484,25;680,41;2156,51;203,11;1630,31;592,15;243,73;253,33;577,12;-;203,11;406,22;203,11;274,19;203,11;1642,92;203,11;203,11;262,93;-;989,00;274,19;1175,47;203,11;318,07;5165,44;784,42;-;274,19;243,73;-;1145,86;454,22;-;-;542,22;-;479,52;219,11;-;321,26;668,66;347,02;539,88;243,11;1268,00;-;889,12;-;295,79;-;44,22;1002,98;-;-;-;267,11;665,09;-;-;-;777,27;-;-;318,07;1255,74;116898,39;-;1427,86;562,54;267,11;541,24;9194,13;328,19;-;-;857,58;-;328,19;893,46;1577,05;1659,23;282,13;-;826,55;-;-;-;-;306,59;-;226461,95
"15 Pará";26011,06;33228,78;29939,51;28837,67;30524,70;28526,40;25203,15;27396,34;28915,30;28672,04;24717,43;28158,85;22837,40;26415,12;26585,92;26091,07;21049,90;22815,47;29334,60;26091,81;25965,64;28375,47;19171,58;18623,13;25180,12;25847,91;21306,86;22303,83;21153,75;30337,50;32359,50;28570,88;21331,22;19444,51;21173,28;22856,79;30212,70;18837,51;23342,95;28090,80;21096,08;25584,26;32746,85;25640,42;28939,55;50865,63;27108,30;24020,61;30397,07;34298,43;36379,09;45803,39;36310,07;36109,60;33387,11;33643,21;38585,22;46422,07;36415,51;29266,06;26988,18;25564,38;22712,86;28491,99;24694,99;28108,44;36873,04;38534,40;27112,76;35954,09;28584,98;24536,01;25927,26;28976,41;26946,65;31565,19;28014,08;24736,29;28954,50;28228,83;20957,60;22008,28;26680,73;30773,48;17821,52;16786,06;19325,26;16423,41;14755,71;24449,91;18234,46;16409,17;20414,18;20089,99;16773,62;19680,00;26189,46;22651,69;27332,29;12688,64;11308,49;11214,10;12434,23;12595,55;16562,45;12691,03;9560,28;9865,47;7093,06;7392,55;9242,13;9005,27;8438,28;11364,86;13887,97;10853,93;10100,97;33942,59;8550,44;8546,58;8253,58;4519,08;8410,84;15465,42;7941,23;9368,23;9215,84;8184,91;9109,39;102409,72;6341,28;9528,25;9051,39;108190,26;7329,06;5348,49;10381,72;6087,73;8420,01;7817,48;13509,57;7835,61;5785,47;8665,94;12388,55;9012,35;3466,00;7458,36;2494,68;1993,27;4378,79;6419,86;2742,10;4778,08;7358,18;4794,05;3379912,77
"16 Amapá";1864,57;1415,55;531,93;2084,89;553,95;184,65;1263,77;1222,85;1481,55;1846,27;2194,42;1722,15;1752,02;1447,69;2900,64;1626,80;1146,77;1884,99;2186,58;2146,75;2716,59;1660,71;4368,81;742,36;1429,69;2270,60;2328,20;847,58;1114,29;1234,10;922,38;2804,96;1408,57;1847,01;4368,00;1721,51;1416,96;3511,75;2346,34;1021,50;1217,16;1536,92;1633,55;1865,41;3930,80;1326,96;3924,66;2326,11;1937,02;2194,85;1969,54;9150,89;2112,89;2119,31;2239,71;2484,78;2228,43;1325,66;-;2167,94;3940,34;3842,35;1561,28;2263,80;656,60;536,85;476,17;1151,51;406,22;406,22;1491,72;1953,88;2060,06;460,17;438,22;1167,35;1274,16;1233,48;1382,56;725,35;1783,98;1657,88;1465,21;241,06;203,11;1080,53;633,33;1196,38;3248,94;874,59;1344,78;1020,60;1054,50;1246,11;1929,22;978,51;1160,75;894,61;923,83;3236,43;959,36;685,23;5729,39;1101,44;406,22;647,28;978,39;462,22;-;870,45;756,31;912,74;1434,91;930,39;-;203,11;227,11;406,22;203,11;-;484,17;430,22;929,75;526,55;-;203,11;-;220,45;-;665,33;-;341,12;227,11;962,22;381,30;-;1614,20;227,11;-;305,06;227,11;-;-;1117,96;-;999,65;203,11;203,11;-;-;804,45;211,11;251,11;481,42;-;416,39;202182,93
"17 Tocantins";2997,27;3320,40;6350,54;2430,42;2462,89;2248,29;7317,73;3432,35;2502,97;2342,16;2879,79;1842,09;2854,63;3075,18;1696,88;4589,43;3204,00;2252,61;6316,64;3125,67;3041,69;3412,72;5505,58;3869,60;7096,29;3541,43;3285,64;15126,64;3126,95;4244,59;2516,46;2050,34;1446,92;2295,31;3428,80;2985,14;3118,03;3509,35;5395,48;3569,76;4594,61;6050,67;1736,88;6413,01;4424,12;2487,77;1870,16;3711,99;4494,79;5037,97;5441,68;4303,13;5449,77;6570,94;7878,52;6389,56;3165,30;2009,94;4090,47;2691,67;6878,41;3367,19;4206,96;3782,04;7029,05;6261,97;3389,55;5705,04;2962,48;1939,62;2689,98;1748,24;3708,35;1103,75;2908,09;2023,18;2124,55;3611,31;2839,57;2277,61;4931,44;7825,94;4909,33;10072,88;8493,37;5440,91;6312,90;3508,68;2356,58;2135,10;1183,67;2452,50;1097,72;454,42;-;488,33;2090,18;6120,02;2239,07;1449,53;663,28;689,63;446,22;779,91;823,81;1458,70;313,06;526,79;751,40;1380,61;257,06;2001,97;789,23;1486,39;-;1516,28;432,39;709,43;500,17;705,45;709,23;2060,65;-;2437,66;241,06;203,11;1200,42;1643,81;1700,76;613,71;1030,29;454,34;438,42;313,06;2203,51;281,06;227,11;965,50;416,39;-;1469,10;757,67;555,01;1547,86;249,06;681,45;252,51;1177,40;-;950,20;470,22;-;-;-;-;-;424223,47
"21 Maranhão";7338,84;9573,38;9241,54;11084,22;13222,23;13467,11;11968,61;8977,90;8157,15;11147,45;9710,41;6071,04;7674,18;9456,16;11174,86;9920,95;14248,15;7629,64;8716,30;8368,33;15167,22;9767,61;11016,76;9420,24;11843,42;7649,01;8480,27;10868,62;7379,72;12769,46;12372,94;8518,13;24146,14;9623,55;10403,82;8772,22;12385,45;11753,60;15942,50;10511,36;14438,18;14594,47;17782,78;14085,33;14876,10;11606,81;12884,87;17797,93;11122,93;10844,29;17887,58;15279,02;19155,16;11570,74;10765,14;11844,05;12028,63;7603,76;9381,04;6957,90;12981,66;34262,46;13703,85;19797,67;11312,18;9020,02;10524,59;13404,10;11505,91;19721,30;20355,31;8204,62;7567,21;12218,48;7720,38;10916,89;9356,89;13972,37;12013,40;11387,69;13877,93;13923,28;29760,53;12940,33;8712,26;8031,16;21680,23;7825,06;7669,40;6566,95;6478,68;11549,69;11765,45;12911,77;8250,47;6368,93;4322,52;7765,17;5762,41;3987,12;5725,37;14897,51;8442,22;8145,48;4197,90;1344,61;6645,78;3206,53;5545,80;8454,16;6791,68;5530,75;13181,31;9404,42;11349,99;4235,86;3911,55;3499,12;7037,81;3597,00;17148,64;5240,40;3526,42;6842,71;18440,75;102696,34;3400,02;3672,42;1021,19;10385,93;2214,17;3672,30;9953,24;2559,23;2583,25;2591,49;3605,56;4194,18;9702,93;2685,96;10729,68;2715,28;2993,67;1987,37;4712,52;2192,33;2332,52;2490,81;2319,62;1504,42;584,85;1554,67;3977,52;5772,88;821,74;-;1566515,38
"22 Piauí";5077,89;3793,20;3092,56;4569,35;9134,94;9626,83;6841,02;3444,41;3685,72;4563,00;2237,15;1983,89;2627,07;2437,32;2816,43;3234,67;3222,85;6187,16;5657,78;8063,00;5271,02;17144,15;5502,95;6627,95;12996,62;5392,71;4703,98;2990,11;3580,33;2892,85;5307,87;2637,98;1940,95;9574,06;5317,69;8533,87;4214,95;5849,89;4979,01;8149,40;2540,46;3293,47;6358,58;1920,88;2916,19;4606,50;2670,35;7547,25;7482,91;3857,93;5102,47;3610,39;15519,15;15808,71;5477,54;3752,56;25211,37;2174,64;1134,82;876,44;2374,90;3270,11;4903,49;2278,17;3354,21;3261,16;1569,17;2313,52;3225,21;3681,63;2856,49;2553,07;1209,40;1882,49;4361,04;4261,26;1294,56;3296,82;5596,26;2306,36;1946,06;3173,55;1690,43;2984,84;2370,95;703,28;2532,51;609,33;1044,40;922,25;4931,17;3051,36;2968,43;1367,76;13203,22;912,00;1732,40;6442,08;2289,78;3070,82;609,33;2410,07;3595,96;2170,72;3611,77;1883,96;10277,55;4082,01;1905,94;6883,28;2131,87;3382,21;5533,01;6928,88;1222,78;2205,58;3038,60;2985,32;3649,33;4508,15;2140,63;11260,02;1790,74;10352,20;2962,94;3024,32;98644,96;2376,38;2551,81;2576,61;4994,40;-;2120,33;203,11;3590,55;1623,39;1459,04;2048,80;2019,56;2936,42;1033,38;582,30;2894,74;6410,45;3004,12;7361,75;1064,39;726,55;4772,67;3408,53;7586,01;7942,86;592,37;5671,70;4504,24;1454,23;746265,95
"23 Ceará";10244,32;6857,89;13909,94;15039,67;11499,33;12152,72;10217,70;11152,02;8847,99;14149,54;6183,31;18658,76;8087,20;7437,07;10418,80;6057,94;7841,65;7382,31;20065,15;9557,47;7818,78;7508,14;16843,79;14531,39;11290,48;12329,83;10427,95;4460,44;12703,61;9754,15;12221,98;8380,44;10867,95;9261,40;4240,34;15830,35;6770,74;5074,62;6165,49;3409,99;4034,85;5675,50;6441,42;8124,79;6294,23;5953,76;5874,23;7594,99;8417,42;6495,40;5889,97;5999,42;5226,73;13697,84;12240,18;7394,38;2611,58;4415,26;6753,18;6394,08;6591,84;6155,68;3274,83;4804,38;4728,10;10369,37;3420,80;5592,80;9442,13;2789,74;4470,77;3733,73;4284,20;4140,90;4603,64;6375,84;7221,12;7272,18;3392,00;7989,39;5283,24;4107,83;16494,07;6067,09;3778,77;1079,55;6659,37;2494,53;3630,74;3661,80;3435,92;2606,27;3908,56;2795,59;1167,87;2384,60;3768,37;1166,76;3574,99;4140,31;3810,26;1046,35;2679,14;735,28;2477,31;5033,98;2340,63;2354,46;1299,96;3250,22;3033,55;570,28;1569,04;2319,71;1641,37;2632,41;3255,12;2188,03;8338,80;8864,17;121026,21;101112,89;1446,62;2379,84;1837,16;97637,06;2818,99;2170,04;99496,83;5989,80;2581,85;1997,95;776,80;2045,47;4376,28;1787,25;103481,92;6808,50;6204,75;6881,58;2547,32;3690,60;3109,18;1862,38;4332,49;112129,13;2180,27;2334,56;838,61;1801,09;1360,52;5178,94;3355,98;1219,76;2443,39;2130,04;1516853,64
