 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano processamento
Período:1995-2007
"Unidade da Federação";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"Total"
"11 Rondônia";17941666,57;18167264,70;19182210,28;21200930,25;25228380,60;26032173,89;24613588,44;23839599,14;23264690,30;26816218,08;28416495,49;30233607,65;33770239,79;318707065,18
"12 Acre";5270407,61;5090616,50;5065242,80;6243319,88;10420170,04;11187520,69;11237494,81;11611020,48;13606885,24;15981167,51;19097877,62;20024411,02;20843344,22;155679478,42
"13 Amazonas";19513023,47;18890645,14;18647545,37;24979258,34;34190576,82;38689110,11;39815746,12;46177444,07;53548091,80;66010053,78;72615344,05;82518130,94;93785385,95;609380355,96
"14 Roraima";838086,01;1362779,35;335447,99;2643892,47;3431772,22;2139766,30;3885722,45;3819467,96;3674648,38;5652708,51;6341980,31;7850177,89;8450763,79;50427213,63
"15 Pará";67738364,43;75281062,54;76063217,02;92874248,83;120525887,40;138504788,57;144593678,57;154223162,28;171988861,25;198320800,74;217407565,18;225324818,32;239726017,11;1922572472,24
"16 Amapá";2375619,75;2436461,85;2660138,90;3565339,82;5295848,16;7667757,22;8614591,03;7933343,72;8331377,03;11115363,76;10995229,41;13653087,44;13666201,36;98310359,45
"17 Tocantins";15044690,92;15811591,59;16614388,99;21437410,63;28611365,92;32432660,31;33623636,30;35150978,27;37689829,08;43919179,41;48184721,41;50644833,85;51334702,59;430499989,27
"21 Maranhão";91396151,56;79462290,10;77262149,33;90541726,35;108708913,05;113633666,24;115726580,15;123004637,24;129905107,33;142088454,02;150662507,41;160858086,59;167486681,51;1550736950,88
"22 Piauí";52415236,25;49450216,42;49656930,69;60533006,34;77361135,04;85999401,50;86006447,85;88214681,33;93048512,30;102706698,30;107991239,11;105632878,91;109407583,96;1068423968,00
"23 Ceará";122423767,62;117949629,40;119317962,21;144422188,76;181392054,53;186591863,74;193117449,03;209243498,97;231031693,06;272328015,56;298513546,54;289357512,49;317899288,88;2683588470,79
"24 Rio Grande do Norte";39894779,86;38108514,24;37629549,40;48897155,48;58008796,59;65258307,96;70128884,49;74602576,69;77935244,78;92262664,71;98581029,97;95288832,59;104861926,17;901458262,93
"25 Paraíba";73469137,09;69800986,55;64364766,40;73173112,13;85484930,85;91982885,44;96035093,33;96982738,53;107625344,77;119286137,83;125493238,04;122881917,56;130246998,23;1256827286,75
"26 Pernambuco";142366516,34;150194840,35;151835106,66;175749315,13;212072549,43;216236354,25;230938551,07;235373493,20;256106284,88;277629536,56;302407470,05;311654622,91;338931122,67;3001495763,50
"27 Alagoas";48550621,58;50225453,46;48926649,23;54838154,43;62927725,99;72085465,52;74605889,73;80528093,02;86818358,99;100574696,05;106400204,93;100583328,05;109877324,71;996941965,69
"28 Sergipe";21601517,45;22833462,98;23679679,41;28855099,55;36891112,84;42670723,92;43477714,13;44444233,54;46037911,23;49812872,88;52024094,40;52323663,49;55497896,56;520149982,38
"29 Bahia";189394080,68;194406161,51;191928856,50;242173901,68;304842466,21;324735501,00;329021252,36;347712271,87;373954249,08;413630211,97;415068533,11;407111911,47;453841047,58;4187820445,02
